month,indicator,value
2019-12,cpi,4.5
2019-12,industrial_production,6.9
2019-12,lpr_1y,4.15
2019-12,lpr_5y,4.8
2019-12,m0,5.4
2019-12,m1,4.4
2019-12,m2,8.7
2019-12,pmi,50.2
2019-12,ppi,-0.5
2019-12,retail_sales,8.0
2019-12,sf_enterprise,4256.97
2019-12,sf_government,17.0
2019-12,sf_household,6484.71
2019-12,us_cpi,2.3
2020-01,cpi,5.4
2020-01,lpr_1y,4.15
2020-01,lpr_5y,4.8
2020-01,m0,6.6
2020-01,m1,0.0
2020-01,m2,8.4
2020-01,pmi,50.0
2020-01,ppi,0.1
2020-01,sf_enterprise,28557.6
2020-01,sf_government,7613.0
2020-01,sf_household,6340.27
2020-01,us_cpi,2.5
2020-02,cpi,5.2
2020-02,industrial_production,-13.5
2020-02,lpr_1y,4.05
2020-02,lpr_5y,4.75
2020-02,m0,10.9
2020-02,m1,4.8
2020-02,m2,8.8
2020-02,pmi,35.7
2020-02,ppi,-0.4
2020-02,sf_enterprise,11332.91
2020-02,sf_government,1824.0
2020-02,sf_household,-4132.55
2020-02,us_cpi,2.3
2020-03,cpi,4.3
2020-03,industrial_production,-1.1
2020-03,lpr_1y,4.05
2020-03,lpr_5y,4.75
2020-03,m0,10.8
2020-03,m1,5.0
2020-03,m2,10.1
2020-03,pmi,52.0
2020-03,ppi,-1.5
2020-03,retail_sales,-15.8
2020-03,sf_enterprise,20516.7
2020-03,sf_government,6344.0
2020-03,sf_household,9865.49
2020-03,us_cpi,1.5
2020-04,cpi,3.3
2020-04,industrial_production,3.9
2020-04,lpr_1y,3.85
2020-04,lpr_5y,4.65
2020-04,m0,10.2
2020-04,m1,5.5
2020-04,m2,11.1
2020-04,pmi,50.8
2020-04,ppi,-3.1
2020-04,retail_sales,-7.5
2020-04,sf_enterprise,9562.7
2020-04,sf_government,3357.0
2020-04,sf_household,6669.05
2020-04,us_cpi,0.3
2020-05,cpi,2.4
2020-05,industrial_production,4.4
2020-05,lpr_1y,3.85
2020-05,lpr_5y,4.65
2020-05,m0,9.5
2020-05,m1,6.8
2020-05,m2,11.1
2020-05,pmi,50.6
2020-05,ppi,-3.7
2020-05,retail_sales,-2.8
2020-05,sf_enterprise,8458.9
2020-05,sf_government,11362.0
2020-05,sf_household,7042.53
2020-05,us_cpi,0.1
2020-06,cpi,2.5
2020-06,industrial_production,4.8
2020-06,lpr_1y,3.85
2020-06,lpr_5y,4.65
2020-06,m0,9.5
2020-06,m1,6.5
2020-06,m2,11.1
2020-06,pmi,50.9
2020-06,ppi,-3.0
2020-06,retail_sales,-1.8
2020-06,sf_enterprise,9254.47
2020-06,sf_government,7450.0
2020-06,sf_household,9774.8
2020-06,us_cpi,0.6
2020-07,cpi,2.7
2020-07,industrial_production,4.8
2020-07,lpr_1y,3.85
2020-07,lpr_5y,4.65
2020-07,m0,9.9
2020-07,m1,6.9
2020-07,m2,10.7
2020-07,pmi,51.1
2020-07,ppi,-2.4
2020-07,retail_sales,-1.1
2020-07,sf_enterprise,2645.21
2020-07,sf_government,5459.0
2020-07,sf_household,7577.59
2020-07,us_cpi,1.0
2020-08,cpi,2.4
2020-08,industrial_production,5.6
2020-08,lpr_1y,3.85
2020-08,lpr_5y,4.65
2020-08,m0,9.4
2020-08,m1,8.0
2020-08,m2,10.4
2020-08,pmi,51.0
2020-08,ppi,-2.0
2020-08,retail_sales,0.5
2020-08,sf_enterprise,5796.61
2020-08,sf_government,13788.0
2020-08,sf_household,8414.62
2020-08,us_cpi,1.3
2020-09,cpi,1.7
2020-09,industrial_production,6.9
2020-09,lpr_1y,3.85
2020-09,lpr_5y,4.65
2020-09,m0,11.1
2020-09,m1,8.1
2020-09,m2,10.9
2020-09,pmi,51.5
2020-09,ppi,-2.1
2020-09,retail_sales,3.3
2020-09,sf_enterprise,9485.31
2020-09,sf_government,10116.0
2020-09,sf_household,9687.95
2020-09,us_cpi,1.4
2020-10,cpi,0.5
2020-10,lpr_1y,3.85
2020-10,lpr_5y,4.65
2020-10,m0,10.4
2020-10,m1,9.1
2020-10,m2,10.5
2020-10,pmi,51.4
2020-10,ppi,-2.1
2020-10,retail_sales,4.3
2020-10,sf_enterprise,2335.43
2020-10,sf_government,4931.0
2020-10,sf_household,4330.53
2020-10,us_cpi,1.2
2020-11,cpi,-0.5
2020-11,industrial_production,7.0
2020-11,lpr_1y,3.85
2020-11,lpr_5y,4.65
2020-11,m0,10.3
2020-11,m1,10.0
2020-11,m2,10.7
2020-11,pmi,52.1
2020-11,ppi,-1.5
2020-11,retail_sales,5.0
2020-11,sf_enterprise,7812.45
2020-11,sf_government,4000.0
2020-11,sf_household,7534.22
2020-11,us_cpi,1.2
2020-12,cpi,0.2
2020-12,industrial_production,7.3
2020-12,lpr_1y,3.85
2020-12,lpr_5y,4.65
2020-12,m0,9.2
2020-12,m1,8.6
2020-12,m2,10.1
2020-12,pmi,51.9
2020-12,ppi,-0.4
2020-12,retail_sales,4.6
2020-12,sf_enterprise,5892.86
2020-12,sf_government,6973.0
2020-12,sf_household,5551.08
2020-12,us_cpi,1.4
2021-01,cpi,-0.3
2021-01,lpr_1y,3.85
2021-01,lpr_5y,4.65
2021-01,m0,-3.9
2021-01,m1,14.7
2021-01,m2,9.4
2021-01,pmi,51.3
2021-01,ppi,0.3
2021-01,sf_enterprise,25457.9
2021-01,sf_government,2437.0
2021-01,sf_household,12726.1
2021-01,us_cpi,1.4
2021-02,cpi,-0.2
2021-02,industrial_production,35.1
2021-02,lpr_1y,3.85
2021-02,lpr_5y,4.65
2021-02,m0,4.2
2021-02,m1,7.4
2021-02,m2,10.1
2021-02,pmi,50.6
2021-02,ppi,1.7
2021-02,sf_enterprise,11987.6
2021-02,sf_government,1017.0
2021-02,sf_household,1421.42
2021-02,us_cpi,1.7
2021-03,cpi,0.4
2021-03,industrial_production,14.1
2021-03,lpr_1y,3.85
2021-03,lpr_5y,4.65
2021-03,m0,4.2
2021-03,m1,7.1
2021-03,m2,9.4
2021-03,pmi,51.9
2021-03,ppi,4.4
2021-03,retail_sales,34.2
2021-03,sf_enterprise,16044.53
2021-03,sf_government,3131.0
2021-03,sf_household,11472.44
2021-03,us_cpi,2.6
2021-04,cpi,0.9
2021-04,industrial_production,9.8
2021-04,lpr_1y,3.85
2021-04,lpr_5y,4.65
2021-04,m0,5.3
2021-04,m1,6.2
2021-04,m2,8.1
2021-04,pmi,51.1
2021-04,ppi,6.8
2021-04,retail_sales,17.7
2021-04,sf_enterprise,7551.97
2021-04,sf_government,3739.0
2021-04,sf_household,5282.83
2021-04,us_cpi,4.2
2021-05,cpi,1.3
2021-05,industrial_production,8.8
2021-05,lpr_1y,3.85
2021-05,lpr_5y,4.65
2021-05,m0,5.6
2021-05,m1,6.1
2021-05,m2,8.3
2021-05,pmi,51.0
2021-05,ppi,9.0
2021-05,retail_sales,12.4
2021-05,sf_enterprise,8057.35
2021-05,sf_government,6701.0
2021-05,sf_household,6232.0
2021-05,us_cpi,5.0
2021-06,cpi,1.1
2021-06,industrial_production,8.3
2021-06,lpr_1y,3.85
2021-06,lpr_5y,4.65
2021-06,m0,6.2
2021-06,m1,5.5
2021-06,m2,8.6
2021-06,pmi,50.9
2021-06,ppi,8.8
